section	virtual_address	name
Functions	0x418f7c	art_head_fidgets_
Functions	0x418ffc	scale_art_
Functions	0x419160	art_ptr_lock_
Functions	0x419188	art_ptr_lock_data_
Functions	0x4191cc	art_lock_
Functions	0x419260	art_ptr_unlock_
Functions	0x41927c	art_flush_
Functions	0x419294	art_discard_
Functions	0x4192b0	art_get_base_name_
Functions	0x419314	art_get_code_
Functions	0x419428	art_get_name_
Functions	0x419664	art_read_lst_
Functions	0x419760	art_frame_fps_
Functions	0x419778	art_frame_action_frame_
Functions	0x41978c	art_frame_max_frame_
Functions	0x4197a0	art_frame_width_
Functions	0x4197b8	art_frame_length_
Functions	0x4197d4	art_frame_width_length_
Functions	0x419820	art_frame_hot_
Functions	0x41984c	art_frame_offset_
Functions	0x419870	art_frame_data_
Functions	0x419880	frame_ptr_
Functions	0x4198c8	art_exists_
Functions	0x419930	art_fid_valid_
Functions	0x419998	art_alias_num_
Functions	0x4199ac	artCritterFidShouldRun_
Functions	0x4199d4	art_alias_fid_
Functions	0x419a78	art_data_size_
Functions	0x419b78	art_data_load_
Functions	0x419c80	art_data_free_
Functions	0x419c88	art_id_
Functions	0x419d60	art_readSubFrameData_
Functions	0x419e1c	art_readFrameData_
Functions	0x419ec0	load_frame_
Functions	0x419fc0	load_frame_into_
Functions	0x41a070	art_writeSubFrameData_
Functions	0x41a138	art_writeFrameData_
Functions	0x41a1e8	save_frame_
Functions	0x41a2b0	defaultCompressionFunc_
Functions	0x41a2d0	decodeRead_
Functions	0x41a2ec	audioOpen_
Functions	0x41a50c	audioCloseFile_
Functions	0x41a574	audioRead_
Functions	0x41a5e0	audioSeek_
Functions	0x41a78c	audioFileSize_
Functions	0x41a7a8	audioTell_
Functions	0x41a7c4	audioWrite_
Functions	0x41a7d4	initAudio_
Functions	0x41a818	audioClose_
Functions	0x41a850	defaultCompressionFunc__2
Functions	0x41a870	decodeRead_2
Functions	0x41a88c	audiofOpen_
Functions	0x41aaa0	audiofCloseFile_
Functions	0x41ab08	audiofRead_
Functions	0x41ab74	audiofSeek_
Functions	0x41ad20	audiofFileSize_
Functions	0x41ad3c	audiofTell_
Functions	0x41ad58	audiofWrite_
Functions	0x41ad68	initAudiof_
Functions	0x41adac	audiofClose_
Functions	0x41ade0	_defam
Functions	0x41b560	_displayMapList
Functions	0x41b7f4	automap_init_
Functions	0x41b808	automap_reset_
Functions	0x41b81c	automap_exit_
Functions	0x41b87c	automap_load_
Functions	0x41b898	automap_save_
Functions	0x41b8b4	automapDisplayMap_
Functions	0x41b8bc	automap_
Functions	0x41bd1c	draw_top_down_map_
Functions	0x41c004	draw_top_down_map_pipboy_
Functions	0x41c0f0	automap_pip_save_
Functions	0x41c844	WriteAM_Entry_
Functions	0x41c8cc	AM_ReadEntry_
Functions	0x41cad8	WriteAM_Header_
Functions	0x41cb50	AM_ReadMainHeader_
Functions	0x41cba4	decode_map_data_
Functions	0x41cc98	am_pip_init_
Functions	0x41cd34	YesWriteIndex_
Functions	0x41cd6c	copy_file_data_
Functions	0x41ce74	ReadAMList_
Functions	0x41cf20	dialog_out_
Functions	0x41de90	file_dialog_
Functions	0x41ea78	save_file_dialog_
Functions	0x41fbdc	PrntFlist_
Functions	0x41fcc0	cache_init_
Functions	0x41fd4c	cache_resize_
Functions	0x41fd50	cache_exit_
Functions	0x41fdc0	cache_query_
Functions	0x41fde8	cache_lock_
Functions	0x41fef4	cache_lock_alias_
Functions	0x4200b8	cache_unlock_
Functions	0x4200ec	cache_discard_
Functions	0x42012c	cache_flush_
Functions	0x420184	cache_size_
Functions	0x42019c	cache_stats_
Functions	0x4201c0	cache_create_list_
Functions	0x420384	cache_destroy_list_
Functions	0x4203ac	cache_add_
Functions	0x4205e8	cache_insert_
Functions	0x420654	cache_find_
Functions	0x4206c0	cache_create_item_
Functions	0x420708	cache_init_item_
Functions	0x420740	cache_destroy_item_
Functions	0x420764	cache_unlock_all_
Functions	0x4207d4	cache_reset_counter_
Functions	0x42084c	cache_make_room_
Functions	0x42099c	cache_purge_
Functions	0x420a40	cache_resize_array_
Functions	0x420a74	cache_compare_make_room_
Functions	0x420ae8	cache_compare_reset_counter_
Functions	0x420b10	_sub_420B10
Functions	0x420b28	_sub_420B28
Functions	0x420b8c	_sub_420B8C
Functions	0x420bdc	_sub_420BDC
Functions	0x420c18	_sub_420C18
Functions	0x420cc0	combat_init_
Functions	0x420da0	combat_reset_
Functions	0x420e14	combat_exit_
Functions	0x420e24	find_cid_
Functions	0x420e4c	combat_load_
Functions	0x421244	combat_save_
Functions	0x4213e8	combat_safety_invalidate_weapon_
Functions	0x4213fc	combat_safety_invalidate_weapon_func_
Functions	0x4217bc	combatTestIncidentalHit_
Functions	0x4217d4	combat_whose_turn_
Functions	0x4217e8	combat_data_init_
Functions	0x4217fc	combatInitAIInfoList_
Functions	0x421850	combatCopyAIInfo_
Functions	0x421880	combatAIInfoGetFriendlyDead_
Functions	0x4218ac	combatAIInfoSetFriendlyDead_
Functions	0x4218ec	combatAIInfoGetLastTarget_
Functions	0x421918	combatAIInfoSetLastTarget_
Functions	0x42196c	combatAIInfoGetLastItem_
Functions	0x421998	combatAIInfoSetLastItem_
Functions	0x4219cc	combatAIInfoGetLastMove_
Functions	0x421a00	combatAIInfoSetLastMove_
Functions	0x421a34	combat_begin_
Functions	0x421c8c	combat_begin_extra_
Functions	0x421d18	combat_update_critters_in_los_
Functions	0x421d50	combat_update_critter_outline_for_los_
Functions	0x421efc	combat_over_
Functions	0x422194	combat_over_from_load_
Functions	0x4221b4	combat_give_exps_
Functions	0x4222a8	combat_add_noncoms_
Functions	0x422374	combat_in_range_
Functions	0x4223c8	compare_faster_
Functions	0x42243c	combat_sequence_init_
Functions	0x422580	combat_sequence_
Functions	0x422694	combat_end_
Functions	0x4227dc	combat_turn_run_
Functions	0x4227f4	combat_input_
Functions	0x42290c	combat_end_turn_
Functions	0x422914	combat_set_move_all_
Functions	0x42299c	combat_turn_
Functions	0x422c60	combat_should_end_
Functions	0x422d2c	combat_
Functions	0x422ec4	combat_ctd_init_
Functions	0x422f3c	combat_attack_
Functions	0x423104	combat_bullet_start_
Functions	0x423128	check_ranged_miss_
Functions	0x423284	shoot_along_path_
Functions	0x423488	compute_spray_
Functions	0x423714	correctAttackForPerks_
Functions	0x42378c	compute_attack_
Functions	0x423a97	Hit_CRITICAL_SUCCESS
Functions	0x423aa2	Hit_SUCCESS
Functions	0x423abe	Hit_FAILURE
Functions	0x423ad1	Hit_CRITICAL_FAILURE
Functions	0x423c10	compute_explosion_on_extras_
Functions	0x423eb4	attack_crit_success_
Functions	0x424088	attackFindInvalidFlags_
Functions	0x4240dc	attack_crit_failure_
Functions	0x42432c	do_random_cripple_
Functions	0x42436c	determine_to_hit_
Functions	0x424380	determine_to_hit_no_range_
Functions	0x424394	determine_to_hit_from_tile_
Functions	0x4243a8	determine_to_hit_func_
Functions	0x4247b8	compute_damage_
Functions	0x424bac	death_checks_
Functions	0x424c04	apply_damage_
Functions	0x424ee8	check_for_death_
Functions	0x424f2c	set_new_results_
Functions	0x425020	damage_object_
Functions	0x425170	combat_display_
Functions	0x425a9c	combat_display_hit_
Functions	0x425ba4	combat_display_flags_
Functions	0x425e3c	combat_anim_begin_
Functions	0x425e80	combat_anim_finished_
Functions	0x425fbc	combat_standup_
Functions	0x42603c	print_tohit_
Functions	0x42612c	combat_get_loc_name_
Functions	0x4261b4	draw_loc_off_
Functions	0x4261c0	draw_loc_on_
Functions	0x4261cc	draw_loc_
Functions	0x426218	get_called_shot_location_
Functions	0x426614	combat_check_bad_shot_
Functions	0x426744	combat_to_hit_
Functions	0x4267cc	combat_attack_this_
Functions	0x426aa8	combat_outline_on_
Functions	0x426bc0	combat_outline_off_
Functions	0x426c64	combat_highlight_change_
Functions	0x426cc4	combat_is_shot_blocked_
Functions	0x426d94	combat_player_knocked_out_by_
Functions	0x426db8	combat_explode_scenery_
Functions	0x426ddc	combat_delete_critter_
Functions	0x426ec4	combatKillCritterOutsideCombat_
Functions	0x426f00	parse_hurt_str_
Functions	0x426fa4	cai_match_str_to_list_
Functions	0x426fe0	cai_init_cap_
Functions	0x42703c	combat_ai_init_
Functions	0x4279f8	combat_ai_reset_
Functions	0x4279fc	combat_ai_exit_
Functions	0x427ad8	combat_ai_load_
Functions	0x427b50	combat_ai_save_
Functions	0x427bc8	cai_cap_load_
Functions	0x427e1c	cai_cap_save_
Functions	0x428058	combat_ai_num_
Functions	0x428060	combat_ai_name_
Functions	0x4280b4	ai_cap_
Functions	0x42811c	ai_cap_from_packet_
Functions	0x428184	ai_get_burst_value_
Functions	0x428190	ai_get_run_away_value_
Functions	0x4281fc	ai_get_weapon_pref_value_
Functions	0x428208	ai_get_distance_pref_value_
Functions	0x428214	ai_get_attack_who_value_
Functions	0x428220	ai_get_chem_use_value_
Functions	0x42822c	ai_set_burst_value_
Functions	0x428248	ai_set_run_away_value_
Functions	0x4282d0	ai_set_weapon_pref_value_
Functions	0x4282ec	ai_set_distance_pref_value_
Functions	0x428308	ai_set_attack_who_value_
Functions	0x428324	ai_set_chem_use_value_
Functions	0x428340	ai_get_disposition_
Functions	0x428354	ai_set_disposition_
Functions	0x428398	ai_magic_hands_
Functions	0x428480	ai_check_drugs_
Functions	0x428868	ai_run_away_
Functions	0x42899c	ai_move_away_
Functions	0x428ac4	ai_find_friend_
Functions	0x428b1c	compare_nearer_
Functions	0x428b74	ai_sort_list_distance_
Functions	0x428b8c	compare_strength_
Functions	0x428bd0	ai_sort_list_strength_
Functions	0x428be4	compare_weakness_
Functions	0x428c28	ai_sort_list_weakness_
Functions	0x428c3c	ai_find_nearest_team_
Functions	0x428cf4	ai_find_nearest_team_in_combat_
Functions	0x428db0	ai_find_attackers_
Functions	0x428f4c	ai_danger_source_
Functions	0x4291c4	caiSetupTeamCombat_
Functions	0x429210	caiTeamCombatInit_
Functions	0x4292c0	caiTeamCombatExit_
Functions	0x4292d4	ai_have_ammo_
Functions	0x42938c	caiHasWeapPrefType_
Functions	0x4293bc	ai_best_weapon_
Functions	0x4298ec	ai_can_use_weapon_
Functions	0x4299a0	ai_search_inven_weap_
Functions	0x429a6c	ai_search_inven_armor_
Functions	0x429b44	ai_can_use_drug_
Functions	0x429c18	ai_search_environ_
Functions	0x429d60	ai_retrieve_object_
